site,plot,plot.unq,replicate,n.treat,n.treat.dummy,n.treat.cat,weevil,weevil.dummy,block,21_d13c,21_mg.c.gsoil,21_d15n,21_mg.n.gsoil,18_mg.c.gsoil,18_mg.n.gsoil,18_c.mg.m2,18_n.mg.m2,litter_kg_m2_mean,herb_kg_m2_mean,som_kg_m2_mean,pH2019,percent.moist2019,bd.cores.g.cm3.2021,bd.pits.g.cm3.2018,sum.13,sum.14,sum.21,numberwillow,numberother,totalnumber,willowarea,otherarea,totalstemarea
1,9,9,b,16,3,high,NW,0,2,-27.94,5.1,-0.71,0.332319361,5.004480667,0.34048,0.012511202,0.0008512,3.33055,0.07875,0.04215,5.71,12.23,1.44,1.264,67.7,285.3587147,283.9,7,0,7,495.7311471,0,495.7311471
1,9,9,c,16,3,high,NW,0,2,-28.09,5.2,-0.22,0.353269955,5.749822667,0.386532222,0.014374557,0.000966331,3.33055,0.07875,0.04215,5.71,12.23,1.44,1.264,67.7,285.3587147,283.9,7,0,7,495.7311471,0,495.7311471
1,12,12,a,16,3,high,W,1,2,-28.55,4.7,-2.28,0.44907286,3.021212344,0.207556719,0.007553031,0.000518892,3.115227273,0.012954545,0.003977273,5.84,10.38,1.28,1.237,12.5,79.45087821,62.6,4,1,5,62.53135973,4.476769531,67.00812927
1,12,12,b,16,3,high,W,1,2,-28.71,4.2,-1.12,0.467205769,4.556552206,0.355338088,0.011391381,0.000888345,3.115227273,0.012954545,0.003977273,5.84,10.38,1.28,1.237,12.5,79.45087821,62.6,4,1,5,62.53135973,4.476769531,67.00812927
1,12,12,c,16,3,high,W,1,2,-28.62,4.5,-2.12,0.413228332,3.074995846,0.218879538,0.00768749,0.000547199,3.115227273,0.012954545,0.003977273,5.84,10.38,1.28,1.237,12.5,79.45087821,62.6,4,1,5,62.53135973,4.476769531,67.00812927
1,13,13,a,16,3,high,W,1,3,-27.28,3.3,-1.11,0.255967078,2.733597188,0.196454844,0.006833993,0.000491137,2.8915,0.02775,0.002325,5.48,12.95,1.3,0.992,19.5,33.37942194,13.9,2,4,6,13.95652536,35.12999591,49.08652127
1,13,13,b,16,3,high,W,1,3,-27.49,3.5,-1.05,0.258850909,3.605810769,0.233013538,0.009014527,0.000582534,2.8915,0.02775,0.002325,5.48,12.95,1.3,0.992,19.5,33.37942194,13.9,2,4,6,13.95652536,35.12999591,49.08652127
1,13,13,c,16,3,high,W,1,3,-27.65,3.6,-1.06,0.271773737,4.283622462,0.271595538,0.010709056,0.000678989,2.8915,0.02775,0.002325,5.48,12.95,1.3,0.992,19.5,33.37942194,13.9,2,4,6,13.95652536,35.12999591,49.08652127
1,15,15,a,16,3,high,NW,0,3,-27.4,10.9,-1.58,0.57409009,2.553320667,0.213698444,0.006383302,0.000534246,3.955,0.105277778,0.061777778,5.55,14.29,1.41,1.122,24.1,44.85408911,118.7,5,0,5,132.4617985,0,132.4617985
1,15,15,b,16,3,high,NW,0,3,-27.71,9.4,-1.41,0.568455464,3.55237,0.247059778,0.008880925,0.000617649,3.955,0.105277778,0.061777778,5.55,14.29,1.41,1.122,24.1,44.85408911,118.7,5,0,5,132.4617985,0,132.4617985
1,15,15,c,16,3,high,NW,0,3,-28,11.2,-1.3,0.625447563,2.827366667,0.231397778,0.007068417,0.000578494,3.955,0.105277778,0.061777778,5.55,14.29,1.41,1.122,24.1,44.85408911,118.7,5,0,5,132.4617985,0,132.4617985
2,5,23,a,16,3,high,NW,0,4,-27.47,7.3,-0.96,0.369591667,3.532031333,0.273460222,0.008830078,0.000683651,4.913888889,0.113055556,0.035277778,5.67,12.22,1.42,1.359,178.9,272.7452202,928.9,16,0,16,989.299229,0,989.299229
2,5,23,b,16,3,high,NW,0,4,-28.03,7.2,-1.44,0.341027234,3.375688723,0.261376596,0.008439222,0.000653441,4.913888889,0.113055556,0.035277778,5.67,12.22,1.42,1.359,178.9,272.7452202,928.9,16,0,16,989.299229,0,989.299229
2,5,23,c,16,3,high,NW,0,4,-27.88,7.3,-1.9,0.370863715,3.982813333,0.276219111,0.009957033,0.000690548,4.913888889,0.113055556,0.035277778,5.67,12.22,1.42,1.359,178.9,272.7452202,928.9,16,0,16,989.299229,0,989.299229
2,6,24,a,16,3,high,W,1,4,-27.99,8.1,-1.02,0.506973262,3.681797539,0.233101692,0.009204494,0.000582754,3.981111111,0.025833333,0.016444444,5.72,16.32,1.21,1.278,174.3,350.3189968,294.3,9,1,10,391.7227532,2.847068342,394.5698216
